kingdom,phylum,class,genus,species,bacteria,strain_id,bacgroup,order
Archaea,Crenarchaeota,Thermoprotei,Vulcanisaeta,Vulcanisaeta_distributa,Vulcanisaeta_distributa_DSM_14429_uid52827,3158,Crenarchaeota,Thermoproteales
Archaea,Crenarchaeota,Thermoprotei,Vulcanisaeta,Vulcanisaeta_moutnovskia,Vulcanisaeta_moutnovskia_768_28_uid63631,3159,Crenarchaeota,Thermoproteales
Bacteria,Chlamydiae,Chlamydiia,Waddlia,Waddlia_chondrophila,Waddlia_chondrophila_WSU_86_1044_uid49531,3160,Chlamydiae,Chlamydiales
Bacteria,Bacteroidetes,Flavobacteriia,Weeksella,Weeksella_virosa,Weeksella_virosa_DSM_16922_uid63627,1175,Bacteroidetes,Flavobacteriales
Bacteria,Firmicutes,Bacilli,Weissella,Weissella_koreensis,Weissella_koreensis_KACC_15510_uid68837,3161,Bacilli,Lactobacillales
Bacteria,Proteobacteria,Gammaproteobacteria,Wigglesworthia,Wigglesworthia_glossinidia,Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis_uid57853,3162,Gammaproteobacteria,Enterobacteriales
Bacteria,Proteobacteria,Alphaproteobacteria,Wolbachia,Wolbachia_endosymbiont,Wolbachia_endosymbiont_of_Culex_quinquefasciatus_Pel_uid61645,3164,Alphaproteobacteria,Rickettsiales
Bacteria,Proteobacteria,Alphaproteobacteria,Wolbachia,Wolbachia_endosymbiont,Wolbachia_endosymbiont_of_Drosophila_melanogaster_uid57851,3165,Alphaproteobacteria,Rickettsiales
Bacteria,Proteobacteria,Alphaproteobacteria,Wolbachia,Wolbachia_endosymbiont,Wolbachia_endosymbiont_TRS_of_Brugia_malayi_uid58107,3167,Alphaproteobacteria,Rickettsiales
Bacteria,Proteobacteria,Alphaproteobacteria,WolbachiaRi,Wolbachia_wRi,Wolbachia_wRi_uid59371,3168,Alphaproteobacteria,Rickettsiales
