kingdom,phylum,class,genus,species,bacteria,strain_id,bacgroup,order
Bacteria,Proteobacteria,Epsilonproteobacteria,Sulfurimonas,Sulfurimonas_denitrificans,Sulfurimonas_denitrificans_DSM_1251_uid58185,601,Epsilonproteobacteria,Campylobacterales
Bacteria,Proteobacteria,Epsilonproteobacteria,Sulfurospirillum,Sulfurospirillum_deleyianum,Sulfurospirillum_deleyianum_DSM_6946_uid41861,822,Epsilonproteobacteria,Campylobacterales
Bacteria,Proteobacteria,Epsilonproteobacteria,Sulfurovum,Sulfurovum_NBC37,Sulfurovum_NBC37_1_uid58863,823,Epsilonproteobacteria,-
Bacteria,Firmicutes,Clostridia,Symbiobacterium,Symbiobacterium_thermophilum,Symbiobacterium_thermophilum_IAM_14863_uid58165,824,Clostridia,Clostridiales
Bacteria,Cyanobacteria,-,Synechococcus,Synechococcus_CC9311,Synechococcus_CC9311_uid58123,825,Cyanobacteria,Chroococcales
Bacteria,Cyanobacteria,-,Synechococcus,Synechococcus_CC9605,Synechococcus_CC9605_uid58319,826,Cyanobacteria,Chroococcales
Bacteria,Cyanobacteria,-,Synechococcus,Synechococcus_CC9902,Synechococcus_CC9902_uid58323,827,Cyanobacteria,Chroococcales
Bacteria,Cyanobacteria,-,Synechococcus,Synechococcus_elongatus,Synechococcus_elongatus_PCC_6301_uid58235,828,Cyanobacteria,Chroococcales
Bacteria,Cyanobacteria,-,Synechococcus,Synechococcus_elongatus,Synechococcus_elongatus_PCC_7942_uid58045,829,Cyanobacteria,Chroococcales
Bacteria,Cyanobacteria,-,Synechococcus,Synechococcus_JA,Synechococcus_JA_2_3B_a_2_13__uid58537,830,Cyanobacteria,Chroococcales
Bacteria,Cyanobacteria,-,Synechococcus,Synechococcus_JA,Synechococcus_JA_3_3Ab_uid58535,831,Cyanobacteria,Chroococcales
Bacteria,Cyanobacteria,-,Synechococcus,Synechococcus_PCC,Synechococcus_PCC_7002_uid59137,832,Cyanobacteria,Chroococcales
Bacteria,Cyanobacteria,-,Synechococcus,Synechococcus_RCC307,Synechococcus_RCC307_uid61609,2698,Cyanobacteria,Chroococcales
Bacteria,Cyanobacteria,-,Synechococcus,Synechococcus_WH,Synechococcus_WH_7803_uid61607,1076,Cyanobacteria,Chroococcales
Bacteria,Cyanobacteria,-,Synechococcus,Synechococcus_WH,Synechococcus_WH_8102_uid61581,1077,Cyanobacteria,Chroococcales
Bacteria,Cyanobacteria,-,Synechocystis,Synechocystis_PCC,Synechocystis_PCC_6803_uid57659,280,Cyanobacteria,Chroococcales
Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacter,Syntrophobacter_fumaroxidans,Syntrophobacter_fumaroxidans_MPOB_uid58177,2126,Deltaproteobacteria,Syntrophobacterales
Bacteria,Firmicutes,Clostridia,Syntrophobotulus,Syntrophobotulus_glycolicus,Syntrophobotulus_glycolicus_DSM_8271_uid63343,2127,Clostridia,Clostridiales
Bacteria,Firmicutes,Clostridia,Syntrophomonas,Syntrophomonas_wolfei,Syntrophomonas_wolfei_Goettingen_uid58179,2128,Clostridia,Clostridiales
Bacteria,Firmicutes,Clostridia,Syntrophothermus,Syntrophothermus_lipocalidus,Syntrophothermus_lipocalidus_DSM_12680_uid49527,281,Clostridia,Clostridiales
Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophus,Syntrophus_aciditrophicus,Syntrophus_aciditrophicus_SB_uid58539,282,Deltaproteobacteria,Syntrophobacterales
Bacteria,Proteobacteria,Betaproteobacteria,Taylorella,Taylorella_asinigenitalis,Taylorella_asinigenitalis_MCE3_uid73771,284,Betaproteobacteria,Burkholderiales
Bacteria,Proteobacteria,Betaproteobacteria,Taylorella,Taylorella_equigenitalis,Taylorella_equigenitalis_MCE9_uid62103,286,Betaproteobacteria,Burkholderiales
Bacteria,Firmicutes,Clostridia,Tepidanaerobacter,Tepidanaerobacter_Re1,Tepidanaerobacter_Re1_uid66873,287,Clostridia,Thermoanaerobacterales
Bacteria,Proteobacteria,Gammaproteobacteria,Teredinibacter,Teredinibacter_turnerae,Teredinibacter_turnerae_T7901_uid59267,288,Gammaproteobacteria,Alteromonadales
Bacteria,Acidobacteria,Acidobacteriia,Terriglobus,Terriglobus_saanensis,Terriglobus_saanensis_SP1PR4_uid53251,290,Acidobacteria,Acidobacteriales
Bacteria,Firmicutes,Bacilli,Tetragenococcus,Tetragenococcus_halophilus,Tetragenococcus_halophilus_uid74441,2129,Bacilli,Lactobacillales
Bacteria,Proteobacteria,Betaproteobacteria,Thauera,Thauera_MZ1T,Thauera_MZ1T_uid58987,2130,Betaproteobacteria,Rhodocyclales
Bacteria,Firmicutes,Clostridia,Thermaerobacter,Thermaerobacter_marianensis,Thermaerobacter_marianensis_DSM_12885_uid61727,2131,Clostridia,Clostridiales
Bacteria,Synergistetes,Synergistia,Thermanaerovibrio,Thermanaerovibrio_acidaminovorans,Thermanaerovibrio_acidaminovorans_DSM_6589_uid41925,2132,Synergistetes,Synergistales
Bacteria,Firmicutes,Clostridia,Thermincola,Thermincola_potens,Thermincola_potens_JR_uid48823,2133,Clostridia,Clostridiales
